hour,temperature_C,temp_layer2,temp_layer5,temp_layer10,h_ML,Q_flux,salinity
139,-0.18471341,-0.1889387,-0.41226217,-0.96591985,8.059324,104.49049091339111,34.20559
140,-0.17781171,-0.18195286,-0.4056001,-0.9655212,8.067231,103.93291091918945,34.20552
141,-0.17113319,-0.17519559,-0.39842996,-0.96512055,8.07548,103.3753309249878,34.205463
142,-0.16468161,-0.16866986,-0.39075094,-0.96471786,8.084194,102.81775093078613,34.20541
143,-0.15846035,-0.16237849,-0.38256127,-0.9643132,8.093481,102.26017093658447,34.205368
144,-0.15247267,-0.1563243,-0.37385833,-0.9639066,8.103458,101.70259094238281,34.20533
145,-0.14672191,-0.15051025,-0.36463854,-0.96349806,8.114264,101.98216311136882,34.205303
146,-0.14121155,-0.14493954,-0.35489705,-0.9630877,8.126054,102.26173528035481,34.205284
147,-0.13594526,-0.13961563,-0.3446277,-0.9626754,8.139021,102.54130744934082,34.205273
148,-0.13092695,-0.13454232,-0.33382267,-0.9622613,8.153399,102.82087961832683,34.20527
149,-0.12616092,-0.12972383,-0.32247242,-0.96184546,8.169483,103.10045178731282,34.20527
150,-0.12165184,-0.1251649,-0.31056547,-0.9614278,8.187646,103.38002395629883,34.20528
151,-0.117405735,-0.1208713,-0.2980898,-0.96100837,8.208262,103.65959612528484,34.2053
152,-0.11342889,-0.11684972,-0.28502244,-0.96058726,8.232112,103.93916829427083,34.205326
153,-0.10972812,-0.11310707,-0.27134305,-0.9601645,8.260061,104.21874046325684,34.205357
154,-0.10631136,-0.10965134,-0.25702772,-0.95974,8.29333,104.49831263224284,34.2054
155,-0.10318465,-0.106489874,-0.24205153,-0.95931387,8.333694,104.77788480122884,34.205444
156,-0.10018333,-0.10347366,-0.22690992,-0.95888615,8.372705,105.05745697021484,34.20549
157,-0.097151674,-0.10044332,-0.21209593,-0.9584569,8.408387,105.33702913920085,34.20553
158,-0.09409558,-0.09738969,-0.1975842,-0.95802605,8.450619,105.61660130818684,34.20556
159,-0.090949304,-0.094287544,-0.18333432,-0.95759374,8.501373,105.89617347717285,34.205585
